sample_id,sorbent_name,sorbent_class,framework_code,adsorbate,adsorbate_class,capacity_mg_g,capacity_type,capacity_std,initial_conc_mg_L,dose_g_L,temperature_K,ph,contact_time_h,competing_ion,competing_ion_mg_L,si_al,na_al,k_al,ca_al,precursor,activator_molarity,bet_m2_g,pore_volume_cm3_g,cec_meq_100g,al_content_mol_kg,al_iv_pct,al_iv_mmol_g,kd_mL_g,kd_competing_ion,selectivity_factor,langmuir_b_L_mg,freundlich_kf,freundlich_n,dr_e_kj_mol,r2,provenance_doi,source_label,replicated,from_figure,value_repeated
Na-MKBFS_Cs_298,Na-MKBFS,,,Cs,radionuclide,75.82,langmuir_qmax,,1000.0,10.0,298.0,,,,,2.13,,,,,8.0,,,,,,,,,,0.012,,,9.27,0.959,El-Naggar_2018,literature_compilation,,,False
Na-MKBFS_Cs_313,Na-MKBFS,,,Cs,radionuclide,80.45,langmuir_qmax,,1000.0,10.0,313.0,,,,,2.13,,,,,8.0,,,,,,,,,,0.0121,,,9.26,0.957,El-Naggar_2018,literature_compilation,,,False
Na-MKBFS_Cs_333,Na-MKBFS,,,Cs,radionuclide,82.24,langmuir_qmax,,1000.0,10.0,333.0,,,,,2.13,,,,,8.0,,,,,,,,,,0.0125,,,9.25,0.954,El-Naggar_2018,literature_compilation,,,False
K-MKBFS_Cs_298,K-MKBFS,,,Cs,radionuclide,42.23,langmuir_qmax,,1000.0,10.0,298.0,,,,,2.4,,,,,8.0,,,,,,,,,,0.00884,,,8.32,0.866,El-Naggar_2018,literature_compilation,,,True
K-MKBFS_Cs_313,K-MKBFS,,,Cs,radionuclide,48.05,langmuir_qmax,,1000.0,10.0,313.0,,,,,2.4,,,,,8.0,,,,,,,,,,0.00861,,,8.24,0.897,El-Naggar_2018,literature_compilation,,,True
K-MKBFS_Cs_333,K-MKBFS,,,Cs,radionuclide,61.54,langmuir_qmax,,1000.0,10.0,333.0,,,,,2.4,,,,,8.0,,,,,,,,,,0.00781,,,8.02,0.929,El-Naggar_2018,literature_compilation,,,True
MU-PMK80_Cs_298,MU-PMK80,,,Cs,radionuclide,59.59,langmuir_qmax,,1000.0,,298.0,,,,,1.43,,,,,8.0,,,,,,,,,,0.0531,,,13.57,0.979,Hamed_2025,literature_compilation,,,True
MU-PMK80_Eu_298,MU-PMK80,,,Eu,other,18.58,langmuir_qmax,,1000.0,,298.0,,,,,1.43,,,,,8.0,,,,,,,,,,0.0531,,,13.57,0.979,Hamed_2025,literature_compilation,,,False
MU-PMK80_Cs_313,MU-PMK80,,,Cs,radionuclide,59.35,langmuir_qmax,,1000.0,,313.0,,,,,1.43,,,,,8.0,,,,,,,,,,0.064,,,14.09,0.953,Hamed_2025,literature_compilation,,,True
MU-PMK80_Eu_313,MU-PMK80,,,Eu,other,19.98,langmuir_qmax,,1000.0,,313.0,,,,,1.43,,,,,8.0,,,,,,,,,,0.064,,,14.09,0.953,Hamed_2025,literature_compilation,,,False
MU-PMK80_Cs_333,MU-PMK80,,,Cs,radionuclide,57.74,langmuir_qmax,,1000.0,,333.0,,,,,1.43,,,,,8.0,,,,,,,,,,0.0778,,,14.4,0.965,Hamed_2025,literature_compilation,,,True
MU-PMK80_Eu_333,MU-PMK80,,,Eu,other,21.55,langmuir_qmax,,1000.0,,333.0,,,,,1.43,,,,,8.0,,,,,,,,,,0.0778,,,14.4,0.965,Hamed_2025,literature_compilation,,,False
MU-PMK80_Cs_298,MU-PMK80,,,Cs,radionuclide,59.59,langmuir_qmax,,1000.0,,298.0,,,,,1.43,,,,,10.0,,,,,,,,,,0.0531,,,13.57,0.979,Hamed_2025,literature_compilation,,,True
MU-PMK80_Cs_313,MU-PMK80,,,Cs,radionuclide,59.35,langmuir_qmax,,1000.0,,313.0,,,,,1.43,,,,,10.0,,,,,,,,,,0.064,,,14.09,0.953,Hamed_2025,literature_compilation,,,True
MU-PMK80_Cs_333,MU-PMK80,,,Cs,radionuclide,57.74,langmuir_qmax,,1000.0,,333.0,,,,,1.43,,,,,10.0,,,,,,,,,,0.0778,,,14.4,0.965,Hamed_2025,literature_compilation,,,True
MU-PMK80_Cs_298,MU-PMK80,,,Cs,radionuclide,59.59,langmuir_qmax,,1000.0,,298.0,,,,,1.43,,,,,12.0,,,,,,,,,,0.0531,,,13.57,0.979,Hamed_2025,literature_compilation,,,True
FA-Geopolymer_Cs_298,FA-Geopolymer,,,Cs,radionuclide,111.9,langmuir_qmax,,,,298.0,,,,,2.0,,,,,2.0,,,,,,,,,,0.0151,,,9.561,0.977,Tian_2019,literature_compilation,,,False
FA-Geopolymer_Sr_298,FA-Geopolymer,,,Sr,radionuclide,24.18,langmuir_qmax,,,,298.0,,,,,2.0,,,,,2.0,,,,,,,,,,0.126,,,14.556,0.993,Tian_2019,literature_compilation,,,False
Zeolite-Geopolymer_Cs_298,Zeolite-Geopolymer,,,Cs,radionuclide,87.91,langmuir_qmax,,800.0,4.0,298.0,,,,,2.0,,,,,2.0,,,,,,,,,,0.0175,,,,0.95,Zheng_2023,literature_compilation,,,False
M/SZMs_Cs_298,M/SZMs,,,Cs,radionuclide,103.74,freundlich_qmax,,170.0,,298.0,,,,,2.0,,,,,11.0,,,,,,,,,,0.28,,,0.52,0.934,Lei_2021,literature_compilation,,,False
M/SZMs_Sr_298,M/SZMs,,,Sr,radionuclide,54.9,langmuir_qmax,,170.0,,298.0,,,,,2.0,,,,,11.0,,,,,,,,,,0.41,,,0.36,0.989,Lei_2021,literature_compilation,,,False
Si20 Al1 Na1_NH4+,Si20 Al1 Na1,,,NH4+,analogue,2.133333333333354,single_point_q,0.3055050463303905,100.0,1.0,,7.0,,,,20.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,248.5779,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si15 Al1 Na1_NH4+,Si15 Al1 Na1,,,NH4+,analogue,4.26666666666668,single_point_q,0.3511884584284225,100.0,1.0,,7.0,,,,15.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,242.2844,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si10 Al1 Na1_NH4+,Si10 Al1 Na1,,,NH4+,analogue,5.466666666666669,single_point_q,0.3214550253664323,100.0,1.0,,7.0,,,,10.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,205.9179,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si5Al1Na1_NH4+,Si5Al1Na1,,,NH4+,analogue,7.000000000000014,single_point_q,0.7000000000000018,100.0,1.0,,7.0,,,,5.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,132.029,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4Al1Na1_NH4+,Si4Al1Na1,,,NH4+,analogue,8.066666666666677,single_point_q,0.56862407030773,100.0,1.0,,7.0,,,,4.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,109.1322,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si3Al1Na1_NH4+,Si3Al1Na1,,,NH4+,analogue,9.13333333333334,single_point_q,0.4041451884327367,100.0,1.0,,7.0,,,,3.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,71.6143,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si2Al1Na1_NH4+,Si2Al1Na1,,,NH4+,analogue,11.533333333333331,single_point_q,0.4041451884327367,100.0,1.0,,7.0,,,,2.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,30.9583,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si1Al1Na1_NH4+,Si1Al1Na1,,,NH4+,analogue,13.733333333333334,single_point_q,0.6506407098647699,100.0,1.0,,7.0,,,,1.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,8.2712,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si20 Al1 Na1 Ca21_NH4+,Si20 Al1 Na1 Ca21,,,NH4+,analogue,7.733333333333334,single_point_q,0.6429100507328621,100.0,1.0,,7.0,,,,20.0,1.0,,21.0,synthetic_colloidal_silica_Al_nitrate,,6.3727,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si15 Al1 Na1 Ca16_NH4+,Si15 Al1 Na1 Ca16,,,NH4+,analogue,6.86666666666666,single_point_q,0.2081665999466122,100.0,1.0,,7.0,,,,15.0,1.0,,16.0,synthetic_colloidal_silica_Al_nitrate,,6.039,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si10 Al1 Na1 Ca11_NH4+,Si10 Al1 Na1 Ca11,,,NH4+,analogue,5.333333333333343,single_point_q,0.7234178138070215,100.0,1.0,,7.0,,,,10.0,1.0,,11.0,synthetic_colloidal_silica_Al_nitrate,,5.1397,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si5 Al1 Na1 Ca6_NH4+,Si5 Al1 Na1 Ca6,,,NH4+,analogue,4.533333333333331,single_point_q,0.2886751345948128,100.0,1.0,,7.0,,,,5.0,1.0,,6.0,synthetic_colloidal_silica_Al_nitrate,,3.5173,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca5_NH4+,Si4 Al1 Na1 Ca5,,,NH4+,analogue,5.933333333333351,single_point_q,0.3214550253664323,100.0,1.0,,7.0,,,,4.0,1.0,,5.0,synthetic_colloidal_silica_Al_nitrate,,6.9212,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si3 Al1 Na1 Ca4_NH4+,Si3 Al1 Na1 Ca4,,,NH4+,analogue,6.666666666666657,single_point_q,0.3055050463303905,100.0,1.0,,7.0,,,,3.0,1.0,,4.0,synthetic_colloidal_silica_Al_nitrate,,10.2911,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si2 Al1 Na1 Ca3_NH4+,Si2 Al1 Na1 Ca3,,,NH4+,analogue,8.86666666666666,single_point_q,0.5773502691896257,100.0,1.0,,7.0,,,,2.0,1.0,,3.0,synthetic_colloidal_silica_Al_nitrate,,13.1828,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si1 Al1 Na1 Ca2_NH4+,Si1 Al1 Na1 Ca2,,,NH4+,analogue,10.999999999999986,single_point_q,0.6999999999999993,100.0,1.0,,7.0,,,,1.0,1.0,,2.0,synthetic_colloidal_silica_Al_nitrate,,14.1045,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
