Sample_ID,M1(%),M2(%),M3(%),M4(%),M5(%),S1(%),S3(%),SNa(%),S3'(%),KOH(%),NaOH(%),Si_met(mol),Si_sol(mol),M_sol(mol),M_MOH(mol),Si(mol%),Al(mol%),M(mol%),Si/M_Sol,Si/Al,Solid/Liquid,mixture_density(g/cm³),viscosity(Pa.s),material_density(g/cm³),compressive_strength(MPa),provenance
1,0.2,0.2,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.11,0.07,0.07,0.0,0.18,0.09,0.07,1.05,1.926,0.667,1.843,2.6,-1.0,-1,doi:10.1039/d5dd00383k
2,0.19,0.0,0.0,0.0,0.19,0.0,0.0,0.29,0.29,0.06,0.0,0.11,0.07,0.06,0.03,0.18,0.08,0.09,0.81,2.178,0.587,1.767,0.29,1.709,34,doi:10.1039/d5dd00383k
3,0.56,0.0,0.0,0.0,0.0,0.28,0.0,0.05,0.0,0.12,0.0,0.15,0.03,0.02,0.05,0.18,0.13,0.07,0.39,1.373,1.252,1.916,40.86,1.82,63,doi:10.1039/d5dd00383k
4,0.5,0.0,0.0,0.0,0.0,0.32,0.0,0.06,0.0,0.12,0.0,0.14,0.03,0.02,0.06,0.17,0.12,0.07,0.42,1.433,0.992,1.876,1.85,1.75,50,doi:10.1039/d5dd00383k
5,0.0,0.39,0.0,0.0,0.0,0.39,0.0,0.14,0.0,0.08,0.0,0.11,0.05,0.03,0.04,0.15,0.09,0.06,0.73,1.72,0.642,1.596,2.78,1.56,39,doi:10.1039/d5dd00383k
6,0.38,0.01,0.01,0.01,0.05,0.15,0.33,0.04,0.0,0.02,0.0,0.13,0.05,0.06,0.01,0.17,0.11,0.07,0.71,1.627,0.855,1.815,0.99,1.82,53,doi:10.1039/d5dd00383k
7,0.3,0.02,0.01,0.01,0.07,0.05,0.39,0.03,0.0,0.13,0.0,0.11,0.04,0.06,0.06,0.16,0.09,0.12,0.37,1.663,0.681,1.879,1.03,1.72,30,doi:10.1039/d5dd00383k
8,0.48,0.04,0.0,0.0,0.03,0.0,0.12,0.28,0.0,0.04,0.02,0.15,0.05,0.04,0.03,0.2,0.13,0.07,0.69,1.574,1.174,1.899,4.28,1.84,71,doi:10.1039/d5dd00383k
9,0.12,0.06,0.32,0.0,0.0,0.25,0.13,0.02,0.0,0.1,0.0,0.14,0.03,0.03,0.05,0.17,0.13,0.08,0.43,1.31,1.0,1.847,42.36,1.805,11,doi:10.1039/d5dd00383k
10,0.0,0.0,0.0,0.0,0.6,0.0,0.16,0.22,0.0,0.01,0.01,0.18,0.05,0.04,0.01,0.22,0.12,0.05,0.87,1.801,1.5,2.009,10.12,1.93,74,doi:10.1039/d5dd00383k
