FlyAsh,GGBFS,NaOH_M,Na2SiO3,CopperSlag,RecycledAgg,Curing_Days,Comp_Strength,provenance,material_system
0,0,8,0,0,0,7,34.0,Data.xlsx,fly_ash_slag_concrete
0,0,8,0,0,0,7,63.0,Data.xlsx,fly_ash_slag_concrete
0,0,8,0,0,0,7,50.0,Data.xlsx,fly_ash_slag_concrete
0,0,8,0,0,0,7,39.0,Data.xlsx,fly_ash_slag_concrete
0,0,8,0,0,0,7,53.0,Data.xlsx,fly_ash_slag_concrete
0,0,8,0,0,0,7,30.0,UNTRACED,fly_ash_slag_concrete
0,0,8,0,0,0,7,71.0,UNTRACED,fly_ash_slag_concrete
0,0,8,0,0,0,7,11.0,UNTRACED,fly_ash_slag_concrete
0,0,8,0,0,0,7,74.0,UNTRACED,fly_ash_slag_concrete
400,0,8,120,0,0,3,25.7,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,3,29.6,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,3,52.4,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,3,63.7,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,3,32.6,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,3,53.0,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,3,64.0,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,7,26.3,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,7,30.6,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,7,52.7,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,7,63.6,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,7,32.8,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,7,52.9,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,7,64.1,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,14,27.8,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,14,32.8,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,14,52.7,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,14,65.3,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,14,34.4,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,0,14,52.9,Data.xlsx,fly_ash_slag_concrete
