FlyAsh,GGBFS,Metakaolin,NaOH_M,Na2SiO3,CopperSlag,RecycledAgg,Curing_Days,Si_Al,Comp_Strength,Density
0,0,0,8,0,0,0,7,2.178,34,1.767
0,0,0,8,0,0,0,7,1.373,63,1.916
0,0,0,8,0,0,0,7,1.433,50,1.876
0,0,0,8,0,0,0,7,1.720,39,1.596
0,0,0,8,0,0,0,7,1.627,53,1.815
0,0,0,8,0,0,0,7,1.663,30,1.879
0,0,0,8,0,0,0,7,1.574,71,1.899
0,0,0,8,0,0,0,7,1.310,11,1.847
0,0,0,8,0,0,0,7,1.801,74,2.009
400,0,0,8,120,0,0,3,2.200,25.7,1.680
400,0,0,8,120,0,0,3,2.200,29.6,1.680
400,0,0,8,120,0,0,3,2.200,52.4,1.680
400,0,0,8,120,0,0,3,2.200,63.7,1.680
400,0,0,8,120,0,0,3,2.200,32.6,1.680
400,0,0,8,120,0,0,3,2.200,53.0,1.680
400,0,0,8,120,0,0,3,2.200,64.0,1.680
400,0,0,8,120,0,0,7,2.200,26.3,1.680
400,0,0,8,120,0,0,7,2.200,30.6,1.680
400,0,0,8,120,0,0,7,2.200,52.7,1.680
400,0,0,8,120,0,0,7,2.200,63.6,1.680
400,0,0,8,120,0,0,7,2.200,32.8,1.680
400,0,0,8,120,0,0,7,2.200,52.9,1.680
400,0,0,8,120,0,0,7,2.200,64.1,1.680
400,0,0,8,120,0,0,14,2.200,27.8,1.680
400,0,0,8,120,0,0,14,2.200,32.8,1.680
400,0,0,8,120,0,0,14,2.200,52.7,1.680
400,0,0,8,120,0,0,14,2.200,65.3,1.680
400,0,0,8,120,0,0,14,2.200,34.4,1.680
400,0,0,8,120,0,0,14,2.200,52.9,1.680
400,0,0,8,120,0,0,14,2.200,65.7,1.680
400,0,0,8,120,0,0,28,2.200,32.0,1.680
400,0,0,8,120,0,0,28,2.200,38.1,1.680
400,0,0,8,120,0,0,28,2.200,52.2,1.680
400,0,0,8,120,0,0,28,2.200,66.2,1.680
400,0,0,8,120,0,0,28,2.200,40.0,1.680
400,0,0,8,120,0,0,28,2.200,55.6,1.680
400,0,0,8,120,0,0,28,2.200,67.0,1.680
400,0,0,10,120,0,0,3,2.200,28.3,1.680
400,0,0,10,120,0,0,3,2.200,32.5,1.680
400,0,0,10,120,0,0,3,2.200,57.6,1.680
400,0,0,10,120,0,0,3,2.200,70.0,1.680
400,0,0,10,120,0,0,3,2.200,35.9,1.680
400,0,0,10,120,0,0,3,2.200,58.3,1.680
400,0,0,10,120,0,0,3,2.200,70.4,1.680
400,0,0,10,120,0,0,7,2.200,28.9,1.680
400,0,0,10,120,0,0,7,2.200,33.7,1.680
400,0,0,10,120,0,0,7,2.200,57.9,1.680
400,0,0,10,120,0,0,7,2.200,69.9,1.680
400,0,0,10,120,0,0,7,2.200,36.1,1.680
400,0,0,10,120,0,0,7,2.200,58.2,1.680
400,0,0,10,120,0,0,7,2.200,70.5,1.680
400,0,0,10,120,0,0,14,2.200,30.6,1.680
400,0,0,10,120,0,0,14,2.200,36.0,1.680
400,0,0,10,120,0,0,14,2.200,57.9,1.680
400,0,0,10,120,0,0,14,2.200,71.9,1.680
400,0,0,10,120,0,0,14,2.200,37.9,1.680
400,0,0,10,120,0,0,14,2.200,58.2,1.680
400,0,0,10,120,0,0,14,2.200,72.2,1.680
400,0,0,10,120,0,0,28,2.200,35.2,1.680
400,0,0,10,120,0,0,28,2.200,42.0,1.680
400,0,0,10,120,0,0,28,2.200,57.4,1.680
400,0,0,10,120,0,0,28,2.200,72.8,1.680
400,0,0,10,120,0,0,28,2.200,44.0,1.680
400,0,0,10,120,0,0,28,2.200,61.2,1.680
400,0,0,10,120,0,0,28,2.200,73.7,1.680
400,0,0,12,120,0,0,3,2.200,31.1,1.680
400,0,0,12,120,0,0,3,2.200,35.8,1.680
400,0,0,12,120,0,0,3,2.200,63.4,1.680
400,0,0,12,120,0,0,3,2.200,77.0,1.680
400,0,0,12,120,0,0,3,2.200,39.5,1.680
400,0,0,12,120,0,0,3,2.200,64.1,1.680
400,0,0,12,120,0,0,3,2.200,77.5,1.680
400,0,0,12,120,0,0,7,2.200,31.8,1.680
400,0,0,12,120,0,0,7,2.200,37.0,1.680
400,0,0,12,120,0,0,7,2.200,63.7,1.680
400,0,0,12,120,0,0,7,2.200,76.9,1.680
400,0,0,12,120,0,0,7,2.200,39.7,1.680
400,0,0,12,120,0,0,7,2.200,64.1,1.680
400,0,0,12,120,0,0,7,2.200,77.5,1.680
400,0,0,12,120,0,0,14,2.200,33.6,1.680
400,0,0,12,120,0,0,14,2.200,39.6,1.680
400,0,0,12,120,0,0,14,2.200,63.7,1.680
400,0,0,12,120,0,0,14,2.200,79.1,1.680
400,0,0,12,120,0,0,14,2.200,41.7,1.680
400,0,0,12,120,0,0,14,2.200,64.1,1.680
