sample_id,si,al,na,ca,si_al,adsorbate,adsorbed_mg_L,std_mg_L,is_radionuclide_analogue,provenance,bet_m2_g
Si20 Al1 Na1,20.0,1.0,1.0,0.0,20.0,NH4+,2.133333333333354,0.30550504633039055,True,doi:10.1016/j.matdes.2026.115471,248.5779
Si15 Al1 Na1,15.0,1.0,1.0,0.0,15.0,NH4+,4.26666666666668,0.35118845842842256,True,doi:10.1016/j.matdes.2026.115471,242.2844
Si10 Al1 Na1,10.0,1.0,1.0,0.0,10.0,NH4+,5.466666666666669,0.32145502536643233,True,doi:10.1016/j.matdes.2026.115471,205.9179
Si5Al1Na1,5.0,1.0,1.0,0.0,5.0,NH4+,7.000000000000014,0.7000000000000018,True,doi:10.1016/j.matdes.2026.115471,132.029
Si4Al1Na1,4.0,1.0,1.0,0.0,4.0,NH4+,8.066666666666677,0.56862407030773,True,doi:10.1016/j.matdes.2026.115471,109.1322
Si3Al1Na1,3.0,1.0,1.0,0.0,3.0,NH4+,9.13333333333334,0.4041451884327367,True,doi:10.1016/j.matdes.2026.115471,71.6143
Si2Al1Na1,2.0,1.0,1.0,0.0,2.0,NH4+,11.533333333333331,0.4041451884327367,True,doi:10.1016/j.matdes.2026.115471,30.9583
Si1Al1Na1,1.0,1.0,1.0,0.0,1.0,NH4+,13.733333333333334,0.6506407098647699,True,doi:10.1016/j.matdes.2026.115471,8.2712
Si20 Al1 Na1 Ca21,20.0,1.0,1.0,21.0,20.0,NH4+,7.733333333333334,0.6429100507328621,True,doi:10.1016/j.matdes.2026.115471,6.3727
Si15 Al1 Na1 Ca16,15.0,1.0,1.0,16.0,15.0,NH4+,6.86666666666666,0.20816659994661224,True,doi:10.1016/j.matdes.2026.115471,6.039
Si10 Al1 Na1 Ca11,10.0,1.0,1.0,11.0,10.0,NH4+,5.333333333333343,0.7234178138070215,True,doi:10.1016/j.matdes.2026.115471,5.1397
Si5 Al1 Na1 Ca6,5.0,1.0,1.0,6.0,5.0,NH4+,4.533333333333331,0.28867513459481287,True,doi:10.1016/j.matdes.2026.115471,3.5173
Si4 Al1 Na1 Ca5,4.0,1.0,1.0,5.0,4.0,NH4+,5.933333333333351,0.32145502536643233,True,doi:10.1016/j.matdes.2026.115471,6.9212
Si3 Al1 Na1 Ca4,3.0,1.0,1.0,4.0,3.0,NH4+,6.666666666666657,0.30550504633039055,True,doi:10.1016/j.matdes.2026.115471,10.2911
Si2 Al1 Na1 Ca3,2.0,1.0,1.0,3.0,2.0,NH4+,8.86666666666666,0.5773502691896257,True,doi:10.1016/j.matdes.2026.115471,13.1828
Si1 Al1 Na1 Ca2,1.0,1.0,1.0,2.0,1.0,NH4+,10.999999999999986,0.6999999999999993,True,doi:10.1016/j.matdes.2026.115471,14.1045
Si4 Al1 Na1 Ca1,4.0,1.0,1.0,1.0,4.0,NH4+,6.533333333333331,0.30550504633038983,True,doi:10.1016/j.matdes.2026.115471,2.7858
Si4 Al1 Na1 Ca2,4.0,1.0,1.0,2.0,4.0,NH4+,6.799999999999997,0.3464101615137763,True,doi:10.1016/j.matdes.2026.115471,1.0347
Si4 Al1 Na1 Ca3,4.0,1.0,1.0,3.0,4.0,NH4+,8.26666666666668,0.20816659994661224,True,doi:10.1016/j.matdes.2026.115471,2.7037
Si4 Al1 Na1 Ca4,4.0,1.0,1.0,4.0,4.0,NH4+,8.666666666666671,0.45092497528228875,True,doi:10.1016/j.matdes.2026.115471,7.9533
Si4 Al1 Na1 Ca5,4.0,1.0,1.0,5.0,4.0,NH4+,5.933333333333351,0.32145502536643233,True,doi:10.1016/j.matdes.2026.115471,6.9212
Si20 Al1 Na1,20.0,1.0,1.0,0.0,20.0,methylene_blue,90.28364187506766,0.8173470212483221,False,doi:10.1016/j.matdes.2026.115471,248.5779
Si15 Al1 Na1,15.0,1.0,1.0,0.0,15.0,methylene_blue,87.57713543358234,0.8438052001797065,False,doi:10.1016/j.matdes.2026.115471,242.2844
Si10 Al1 Na1,10.0,1.0,1.0,0.0,10.0,methylene_blue,77.23828082710837,2.366297823361955,False,doi:10.1016/j.matdes.2026.115471,205.9179
Si5Al1Na1,5.0,1.0,1.0,0.0,5.0,methylene_blue,56.560571614160445,3.243745429593725,False,doi:10.1016/j.matdes.2026.115471,132.029
Si4Al1Na1,4.0,1.0,1.0,0.0,4.0,methylene_blue,48.38692216087475,0.40867351062416557,False,doi:10.1016/j.matdes.2026.115471,109.1322
Si3Al1Na1,3.0,1.0,1.0,0.0,3.0,methylene_blue,36.74894446248782,1.38746407036659,False,doi:10.1016/j.matdes.2026.115471,71.6143
Si2Al1Na1,2.0,1.0,1.0,0.0,2.0,methylene_blue,14.339071126989268,1.3874640703666044,False,doi:10.1016/j.matdes.2026.115471,30.9583
Si1Al1Na1,1.0,1.0,1.0,0.0,1.0,methylene_blue,3.567175489877665,0.5702962949471003,False,doi:10.1016/j.matdes.2026.115471,8.2712
Si20 Al1 Na1 Ca21,20.0,1.0,1.0,21.0,20.0,methylene_blue,27.005521273140626,1.268309463447004,False,doi:10.1016/j.matdes.2026.115471,6.3727
Si15 Al1 Na1 Ca16,15.0,1.0,1.0,16.0,15.0,methylene_blue,25.219227021760314,0.8592891559157514,False,doi:10.1016/j.matdes.2026.115471,6.039
Si10 Al1 Na1 Ca11,10.0,1.0,1.0,11.0,10.0,methylene_blue,21.59250839016997,1.1969981805508314,False,doi:10.1016/j.matdes.2026.115471,5.1397
Si5 Al1 Na1 Ca6,5.0,1.0,1.0,6.0,5.0,methylene_blue,14.176680740500155,1.4433573266183177,False,doi:10.1016/j.matdes.2026.115471,3.5173
Si4 Al1 Na1 Ca5,4.0,1.0,1.0,5.0,4.0,methylene_blue,20.347515427086716,0.3247807729782366,False,doi:10.1016/j.matdes.2026.115471,6.9212
Si3 Al1 Na1 Ca4,3.0,1.0,1.0,4.0,3.0,methylene_blue,26.84313088665151,1.4433573266183122,False,doi:10.1016/j.matdes.2026.115471,10.2911
Si2 Al1 Na1 Ca3,2.0,1.0,1.0,3.0,2.0,methylene_blue,31.390061708346867,0.2812684000598974,False,doi:10.1016/j.matdes.2026.115471,13.1828
Si1 Al1 Na1 Ca2,1.0,1.0,1.0,2.0,1.0,methylene_blue,34.85438995344809,1.5348540520469651,False,doi:10.1016/j.matdes.2026.115471,14.1045
Si4 Al1 Na1 Ca1,4.0,1.0,1.0,1.0,4.0,methylene_blue,11.199523654866292,0.9515208309649652,False,doi:10.1016/j.matdes.2026.115471,2.7858
Si4 Al1 Na1 Ca2,4.0,1.0,1.0,2.0,4.0,methylene_blue,9.304969145826567,1.2889337338736095,False,doi:10.1016/j.matdes.2026.115471,1.0347
Si4 Al1 Na1 Ca3,4.0,1.0,1.0,3.0,4.0,methylene_blue,11.524304427844532,1.5000981336528052,False,doi:10.1016/j.matdes.2026.115471,2.7037
Si4 Al1 Na1 Ca4,4.0,1.0,1.0,4.0,4.0,methylene_blue,27.167911659629752,1.226020531872484,False,doi:10.1016/j.matdes.2026.115471,7.9533
Si4 Al1 Na1 Ca5,4.0,1.0,1.0,5.0,4.0,methylene_blue,20.347515427086716,0.3247807729782366,False,doi:10.1016/j.matdes.2026.115471,6.9212
Si20 Al1 Na1,20.0,1.0,1.0,0.0,20.0,rhodamine_6G,53.651482284887926,1.2523867010620973,False,doi:10.1016/j.matdes.2026.115471,248.5779
Si15 Al1 Na1,15.0,1.0,1.0,0.0,15.0,rhodamine_6G,27.98264642082429,1.0845986984815568,False,doi:10.1016/j.matdes.2026.115471,242.2844
Si10 Al1 Na1,10.0,1.0,1.0,0.0,10.0,rhodamine_6G,13.521330441070129,1.2523867010621055,False,doi:10.1016/j.matdes.2026.115471,205.9179
Si5Al1Na1,5.0,1.0,1.0,0.0,5.0,rhodamine_6G,7.7368040491684935,0.626193350531061,False,doi:10.1016/j.matdes.2026.115471,132.029
Si4Al1Na1,4.0,1.0,1.0,0.0,4.0,rhodamine_6G,6.290672451193075,0.0,False,doi:10.1016/j.matdes.2026.115471,109.1322
Si3Al1Na1,3.0,1.0,1.0,0.0,3.0,rhodamine_6G,5.9291395516992225,0.6261933505310446,False,doi:10.1016/j.matdes.2026.115471,71.6143
Si2Al1Na1,2.0,1.0,1.0,0.0,2.0,rhodamine_6G,5.206073752711518,0.0,False,doi:10.1016/j.matdes.2026.115471,30.9583
Si1Al1Na1,1.0,1.0,1.0,0.0,1.0,rhodamine_6G,2.3138105567607,0.6261933505310445,False,doi:10.1016/j.matdes.2026.115471,8.2712
Si20 Al1 Na1 Ca21,20.0,1.0,1.0,21.0,20.0,rhodamine_6G,36.29790310918293,0.6261933505310364,False,doi:10.1016/j.matdes.2026.115471,6.3727
Si15 Al1 Na1 Ca16,15.0,1.0,1.0,16.0,15.0,rhodamine_6G,33.405639913232115,1.0845986984815639,False,doi:10.1016/j.matdes.2026.115471,6.039
Si10 Al1 Na1 Ca11,10.0,1.0,1.0,11.0,10.0,rhodamine_6G,27.621113521330432,0.6261933505310364,False,doi:10.1016/j.matdes.2026.115471,5.1397
Si5 Al1 Na1 Ca6,5.0,1.0,1.0,6.0,5.0,rhodamine_6G,12.436731742588572,0.6261933505310281,False,doi:10.1016/j.matdes.2026.115471,3.5173
Si4 Al1 Na1 Ca5,4.0,1.0,1.0,5.0,4.0,rhodamine_6G,14.605929139551705,0.6261933505310446,False,doi:10.1016/j.matdes.2026.115471,6.9212
Si3 Al1 Na1 Ca4,3.0,1.0,1.0,4.0,3.0,rhodamine_6G,17.13665943600867,1.0845986984815568,False,doi:10.1016/j.matdes.2026.115471,10.2911
Si2 Al1 Na1 Ca3,2.0,1.0,1.0,3.0,2.0,rhodamine_6G,18.944323933477932,0.6261933505310446,False,doi:10.1016/j.matdes.2026.115471,13.1828
Si1 Al1 Na1 Ca2,1.0,1.0,1.0,2.0,1.0,rhodamine_6G,20.39045553145336,1.8785800515931501,False,doi:10.1016/j.matdes.2026.115471,14.1045
Si4 Al1 Na1 Ca1,4.0,1.0,1.0,1.0,4.0,rhodamine_6G,9.182935647143921,0.6261933505310445,False,doi:10.1016/j.matdes.2026.115471,2.7858
Si4 Al1 Na1 Ca2,4.0,1.0,1.0,2.0,4.0,rhodamine_6G,7.7368040491684935,0.626193350531061,False,doi:10.1016/j.matdes.2026.115471,1.0347
Si4 Al1 Na1 Ca3,4.0,1.0,1.0,3.0,4.0,rhodamine_6G,10.267534345625478,0.6261933505310446,False,doi:10.1016/j.matdes.2026.115471,2.7037
Si4 Al1 Na1 Ca4,4.0,1.0,1.0,4.0,4.0,rhodamine_6G,19.305856832971795,1.084598698481571,False,doi:10.1016/j.matdes.2026.115471,7.9533
Si4 Al1 Na1 Ca5,4.0,1.0,1.0,5.0,4.0,rhodamine_6G,14.605929139551705,0.6261933505310446,False,doi:10.1016/j.matdes.2026.115471,6.9212
